Iterator,Vmid,Mems,Mem_usage,CPUs,CPU_usage,Bands,Band_usage
4.0,6,2048,0.7728961258952595,4,0.004972950721322002,1,2.47955322265625e-05
4.0,7,2048,0.8955223880597015,2,0.004972598156644221,1,2.47955322265625e-05
4.0,8,2048,0.892401981515306,2,0.004972192592230807,1,2.47955322265625e-05
4.0,9,2048,0.8229772700775647,2,0.004971993371155993,1,2.47955322265625e-05
4.0,10,2048,0.8945503507901637,4,0.0024857049728275364,1,2.47955322265625e-05
4.0,11,2048,0.8632027487009736,2,0.004971120051788821,1,2.47955322265625e-05
4.0,12,2048,0.8035012561636602,4,0.0024854445518192442,1,2.47955322265625e-05
4.0,13,2048,0.9088269786006405,2,0.004970831369953799,1,2.47955322265625e-05
4.0,14,2048,0.9119542431813974,2,0.004970818409515026,1,2.47955322265625e-05
5.0,0,2048,0.8977009576104773,4,0.002478623568926152,1,2.47955322265625e-05
5.0,1,2048,0.8920814464122019,2,0.00495713347645024,1,2.47955322265625e-05
5.0,2,2048,0.898089113731909,2,0.0049575459633087815,1,2.47955322265625e-05
5.0,3,2048,0.8297446753062685,4,0.0024785866579680135,1,2.47955322265625e-05
5.0,4,2048,0.7944362782638116,3,0.0033044471215301586,1,2.47955322265625e-05
5.0,5,2048,0.88257212939743,12,0.5782293198642727,5.040573770709164,0.5575679679870236
5.0,6,2048,0.7728961258952595,4,0.004955682115443192,1,2.47955322265625e-05
5.0,7,2048,0.8955223880597015,2,0.004955773459349415,1,2.47955322265625e-05
5.0,8,2048,0.892401981515306,2,0.00495570436557167,1,2.47955322265625e-05
5.0,9,2048,0.8231212894996125,2,0.004955553302836559,1,2.47955322265625e-05
5.0,10,2048,0.8945503507901637,4,0.0049556130242124526,1,2.47955322265625e-05
5.0,11,2048,0.8632027487009736,2,0.009911617185035346,1,2.47955322265625e-05
5.0,12,2048,0.8035012561636602,4,0.0024779962321117475,1,2.47955322265625e-05
5.0,13,2048,0.9088269786006405,2,0.004956013545927832,1,2.47955322265625e-05
5.0,14,2048,0.9119542431813974,2,0.00495620094673829,1,2.47955322265625e-05
